[2026-03-02 14:15:32] Batch-Import gestartet (YEAR=2023, STMT_DIR=/Users/robin/Documents/Projects/buchhaltung/2023/auszuege)
[2026-03-02 14:15:32] Logs: /Users/robin/Documents/Projects/buchhaltung/logs/batch-import/2023/20260302_141532_1-172_39022
[2026-03-02 14:15:32] Gefundene PDFs: 172
[2026-03-02 14:15:32] Verarbeite Bereich: 1-172 (Anzahl: 172)
[2026-03-02 14:15:32] Codex Optionen: model=gpt-5.3-codex reasoning=medium
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0001.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0002.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0003.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0004.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0005.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0006.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0007.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0008.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0009.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0010.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0011.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0012.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0013.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0014.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0015.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0016.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0017.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0018.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0019.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0020.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0021.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0022.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0023.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0024.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0025.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0026.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0027.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0028.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0029.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0030.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0031.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0032.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0033.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0034.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0035.pdf (JSON existiert bereits)
[2026-03-02 14:15:32] SKIP 2023/auszuege/Konto_0101173915-Auszug_2023_0036.pdf (JSON existiert bereits)
